right_hip,left_hip,right_knee,left_knee,left_trunk,right_trunk,elbow,shoulder,height,weight,distance
118.1080989,64.89005707,152.8881973,158.3074292,158.0641715,165.1078263,179.9144317,30.35686838,1.95,108,86.14
88.32940108,88.06908572,156.7273169,157.1537539,155.0788859,159.765255,102.5637963,40.14408679,1.95,108,87.55
95.99862027,73.05159205,133.9066829,167.4733795,156.3020386,154.0094716,173.2898469,44.92785644,1.95,108,87.84
103.0600248,119.1073036,176.2544698,162.0416059,146.831182,165.4784877,147.3221027,64.48442437,1.95,108,89.82
70.61335133,102.2807588,146.8477391,159.38714,149.0924496,153.4058164,148.1342454,65.694968,1.95,108,91.44
83.35454813,71.07724073,159.2250604,147.4150476,158.5881604,147.7392574,165.8312233,70.83873214,1.95,108,92.06
64.7752811,102.6509423,138.8645779,149.0071827,156.1409404,154.431931,172.3443398,54.33199008,1.82,86,81.06
110.3947044,62.96554137,163.6492777,129.6411007,157.9035859,162.2135671,163.0816936,49.79535585,1.82,86,81.17
72.41968318,90.85077252,132.0006982,148.2998076,155.0546879,149.3406767,169.7762806,50.74428717,1.82,86,87.43
85.83800837,132.0013734,177.4964453,160.398521,148.4853777,169.9571952,64.91361855,31.67766429,1.92,87,89.13
89.35089656,131.851677,178.3182907,175.5209675,149.6378578,162.2506787,171.9627323,74.47563749,1.92,87,89.75
85.90533806,121.7945629,177.6849993,168.3530356,160.3825675,167.0941237,112.0696622,114.70228,1.92,87,90.34
103.6382469,127.284242,173.0888605,164.4586446,151.4074557,151.1809404,179.1765614,76.7206084,1.92,87,90.61
100.7415206,141.2015861,166.6767152,143.3007585,118.7333569,168.2284603,162.1293234,72.15647136,1.88,103,82.25
118.5990621,106.9836601,160.3157755,163.5310474,159.8065465,152.6866502,159.7197474,12.31162662,1.88,103,82.52
16.15254373,114.8163998,141.2072067,142.0878233,124.4981878,156.0459457,177.0872135,135.8986039,1.88,103,87.22
117.4286798,127.5459273,179.027027,159.3926711,129.3076166,157.3187627,150.7421799,60.00579843,1.88,103,87.71
108.9172798,138.3617607,174.9596464,151.9793704,121.6785645,163.4534091,175.3352461,79.0127943,1.88,103,89.78
98.7832058,95.89668828,168.7376528,167.4527781,175.2410752,171.5620431,84.2211167,19.37926092,1.88,103,93.59
104.5271987,76.55565903,127.9984207,156.6853517,134.7036377,144.7144125,158.7716595,51.76896242,1.88,103,94.24
112.5079057,63.55026572,136.0090841,177.625359,145.4958202,150.5445296,157.0498429,40.44351836,1.88,103,96.29
65.24586139,108.3841051,142.0615362,165.0394342,164.2040016,166.8752784,113.9646232,23.07920068,1.91,90,82.94
84.32156116,116.6168104,179.1753336,177.3151527,155.5221426,177.399195,170.8298366,35.77326244,1.91,90,85.52
112.2155264,111.1745504,163.8066995,167.8217578,137.9063737,167.3256963,124.6407702,58.21131172,1.91,90,85.97
104.7163825,115.6054814,172.5614636,172.7977445,143.1975976,165.8615685,126.4882226,56.86279902,1.91,90,86.14
115.3510419,109.7815533,172.9718918,174.1104899,142.3280085,162.0316845,136.0641165,55.4402629,1.91,90,86.4
100.941069,114.210726,169.4973397,148.2266541,138.2069677,176.3547039,150.7556793,69.70280053,1.91,90,87.08
72.77890362,103.8253744,166.7706528,177.2020501,157.8660665,164.74605,115.7762704,34.88891524,1.91,90,88.12
105.2927605,120.6703002,170.48914,151.5291651,135.0463266,167.3998338,150.2311175,64.10644236,1.91,90,88.26
71.09832431,102.1173824,121.7531852,177.8727493,157.5729269,159.3920564,165.5702492,56.7802161,1.91,90,93.9
